COMPANY,CAREERS URL,ATS,APPTIE,NOTES,APPROVED
FreightWaves,https://freightwaves.com/careers,Lever,Chattanooga Hub,,
Bellhop,https://www.bellhop.com/careers,Greenhouse,Chattanooga Hub,,
KlariVis,https://klarivis.com/careers,Custom/Email,Roanoke Startup,,
DeepSig,https://www.deepsig.ai/careers,Custom,Blacksburg Startup,,
Card Isle,https://www.cardisle.com/careers,Custom,Blacksburg Startup,,
InspectionGo,https://inspectiongo.com/careers,Custom,Morgantown Startup,,
Apis Creative,https://apiscreative.com/careers,Custom,Morgantown Agency,,
Anthroware,https://anthroware.com/careers,Workable,Asheville Agency,,
Craftpeak,https://craftpeak.com/careers,Custom,Asheville Agency,,
Linq,https://buy.linqapp.com/pages/careers,Custom,Birmingham Startup,,
Immediate,https://joinimmediate.com/careers,Custom,Birmingham Startup,,
PhishFirewall,https://www.phishfirewall.com/careers,Custom,Huntsville Startup,,
GaN (Geeks and Nerds),https://www.geeksandnerds.com/careers,Custom,Huntsville Small Tech,,
Abridge,https://www.abridge.com/careers,Ashby,Pittsburgh Startup,,
Jetpack Workflow,https://jetpackworkflow.com/careers,JazzHR,Pittsburgh Startup,,
Mayvue,https://www.mayvue.com/careers,Custom,Pittsburgh Small Tech,,
Cognistx,https://www.cognistx.com/careers,Custom,Pittsburgh Agency,,
ResultStack,https://resultstack.com/careers,Custom,Chattanooga Agency,,
Elite HRV,https://elitehrv.com/careers,Custom,Asheville Startup,,
Nursesbnb,https://nursesbnb.com/careers,Custom,Roanoke Startup,,
