COMPANY,CAREERS URL,ATS,APPTIE,NOTES,APPROVED
Duolingo,https://www.duolingo.com/careers,Greenhouse,Pittsburgh HQ,,
Aurora Innovation,https://aurora.tech/careers,Greenhouse,Pittsburgh HQ,,
Astrobotic,https://www.astrobotic.com/careers,Lever,Pittsburgh HQ,,
Gecko Robotics,https://www.geckorobotics.com/careers,Greenhouse,Pittsburgh HQ,,
Dynetics (Leidos),https://www.dynetics.com/careers,Workday,Huntsville HQ,,
Adtran,https://www.adtran.com/en/about-us/careers,ICIMS,Huntsville HQ,,
Shipt,https://www.shipt.com/careers,Workday,Birmingham HQ,,
Fleetio,https://www.fleetio.com/careers,Greenhouse,Birmingham HQ,,
Firefli,https://firefli.com/careers,Custom,Roanoke HQ,,
Advanced Logic Industries,https://www.ali-inc.com/careers,Custom,Blacksburg/Roanoke,,
Ecobot,https://ecobotapp.com/careers,Breezy,Asheville HQ,,
Radio Systems Corp (PetSafe),https://www.petsafe.com/about-us/careers/,Workday,Knoxville HQ,,
Warner Bros. Discovery,https://careers.wbd.com/,Workday,Knoxville Hub,,
NextGen Federal Systems,https://nextgenfed.com/careers,ADP,Morgantown HQ,,
Iconic Air,https://www.iconicair.io/careers,Ashby,Morgantown HQ,,
