COMPANY,CAREERS URL,ATS,APPTIE,NOTES,APPROVED
Ansys,https://www.ansys.com/careers,Workday,Canonsburg PA HQ,,
Aurora Innovation,https://aurora.tech/careers,Greenhouse,Pittsburgh PA base,,
Duolingo,https://careers.duolingo.com/,Greenhouse,Pittsburgh PA HQ,,
Dick's Sporting Goods (Tech),https://careers.dickssportinggoods.com/,Workday,Pittsburgh PA HQ,,
MSA Safety,https://www.msasafety.com/en/about-msa/careers/job-openings,Workday,Cranberry Twp PA HQ,,
Kennametal,https://www.kennametal.com/en/about/careers.html,SAP SuccessFactors,Latrobe PA HQ,,
Torch Technologies,https://www.torchtech.com/careers/,,Huntsville AL HQ,,
Radiance Technologies,https://www.radiancetech.com/careers/,,Huntsville AL HQ,,
Intuitive Research & Technology,https://www.irt-corp.com/careers/,,Huntsville AL HQ,,
Leidos,https://careers.leidos.com/,Workday,Huntsville AL hub,,
SAIC,https://www.saic.com/careers,Workday,Huntsville AL hub,,
Northrop Grumman,https://www.northropgrumman.com/careers/,Workday,Huntsville AL hub,,
Boeing,https://jobs.boeing.com/,Taleo,Huntsville AL hub,,
Lockheed Martin,https://www.lockheedmartin.com/en-us/careers.html,Workday,Huntsville AL hub,,
Teledyne Brown Engineering,https://www.teledyne.com/en-us/careers,Workday,Huntsville AL HQ,,
Parsons Corporation,https://careers.parsons.com/,Taleo,Huntsville AL hub,,
Jacobs Engineering,https://careers.jacobs.com/,Workday,Huntsville AL hub,,
Tennessee Valley Authority,https://www.tva.com/about-tva/careers,Taleo,Knoxville TN HQ,,
Oak Ridge National Laboratory,https://jobs.ornl.gov/,,Oak Ridge TN,,
Pilot Company,https://pilotflyingj.com/careers/,iCIMS,Knoxville TN HQ,,
Radio Systems Corporation,https://www.radiosystemscorp.com/careers/,,Knoxville TN HQ,,
Unum Group,https://www.unum.com/about/careers,Workday,Chattanooga TN HQ,,
Volkswagen Group of America IT,https://www.vw.com/en/models/vw-careers.html,,Chattanooga TN hub,,
WVU Medicine,https://careers.wvumedicine.org/,,Morgantown WV,,
Carilion Clinic,https://www.carilionclinic.org/careers,,Roanoke VA HQ,,
Appalachian Power (AEP),https://www.appalachianpower.com/company/careers,,Charleston WV HQ,,
Frontier Communications,https://jobs.frontier.com/,Workday,Charleston WV hub,,
IBM (Binghamton),https://www.ibm.com/employment/,Workday,Binghamton NY base,,
BAE Systems,https://jobs.baesystems.com/,Taleo,Binghamton NY hub,,
nCino,https://www.ncino.com/company/careers,Greenhouse,Wilmington NC adjacent,,
